code,mode,class,name
J-15990,,01,"autres auteurs, journalistes et écrivains assimilés"
J-15990,,02,"autres auteures, journalistes et écrivaines assimilées"
J-16000,,0,"16 Sculpteurs, peintres, photographes et artistes assimilés"
J-16100,,00,"161 Sculpteurs, peintres et artistes assimilés"
J-16120,,01,sculpteur
J-16120,,02,sculptrice
J-16130,,01,artiste peintre
J-16140,,01,dessinateur caricaturiste
J-16140,,02,dessinatrice caricaturiste
J-16150,,01,graveur d'art au burin et à l'eau-forte
J-16150,,02,graveuse d'art au burin et à l'eau-forte
J-16160,,01,restaurateur de tableaux
J-16160,,02,restauratrice de tableaux
J-16190,,01,"autres sculpteurs, peintres et artistes assimilés"
J-16190,,02,"autres sculptrices, peintres et artistes assimilées"
J-16200,,00,162 Dessinateurs publicitaires et concepteurs
J-16220,,01,dessinateur publicitaire
J-16220,,02,dessinatrice publicitaire
J-16230,,01,décorateur ensemblier
J-16230,,02,décoratrice ensemblière
J-16240,,01,concepteur de produits industriels et commerciaux
J-16240,,02,conceptrice de produits industriels et commerciaux
J-16250,,01,décorateur étalagiste
J-16250,,02,décoratrice étalagiste
J-16290,,01,autres dessinateurs commerciaux et concepteurs
J-16290,,02,autres dessinatrices commerciales et conceptrices
J-16300,,00,163 Photographes et cadreurs
J-16310,,01,"photographe, en général"
J-16320,,01,photographe portraitiste
J-16330,,01,photographe publicitaire
J-16340,,01,photojournaliste
J-16350,,01,directeur de la photographie (cinéma)
J-16350,,02,directrice de la photographie (cinéma)
J-16360,,02,caméraman de cinéma
J-16370,,02,caméraman de télévision
J-16390,,01,autres photographes et cadreurs
J-17000,,0,17 Compositeurs et artistes de spectacles
